generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
164,500,500,4924.9995,2138.4797,1839.9998,210848,0,29.3005,48.5128,97.8689,0.1073
165,500,500,4889.9995,2133.9897,1844.9998,210399,0,29.2718,48.5993,97.6544,0.1073
166,500,500,4709.9995,2137.0598,1862.4998,210706,0,29.2624,48.4709,97.3159,0.1074
167,500,500,4764.9995,2130.8696,1849.9998,210087,0,29.2426,48.3687,97.3242,0.1072
168,500,500,4559.9995,2130.0498,1844.9998,210005,0,29.2671,48.2825,97.6017,0.1070
169,500,500,4774.9995,2130.0698,1844.9998,210007,0,29.2319,47.9235,97.6693,0.1072
170,500,500,4554.9995,2140.1296,1859.9998,211013,0,29.2614,47.7919,98.2815,0.1068
171,500,500,4919.9995,2133.0798,1854.9998,210308,0,29.2008,47.6684,98.0363,0.1068
172,500,500,4774.9995,2127.4597,1844.9998,209746,0,29.1973,47.4465,98.0016,0.1066
173,500,500,4729.9995,2130.7598,1842.4998,210076,0,29.1926,47.2653,97.9116,0.1064
174,500,500,4714.9995,2123.6099,1842.4998,209361,0,29.1185,47.1385,98.0315,0.1067
175,500,500,4549.9995,2122.1196,1834.9998,209212,0,29.1514,46.9939,98.0508,0.1064
176,500,500,4524.9995,2133.5598,1859.9998,210356,0,29.1899,47.3865,97.6208,0.1065
177,500,500,4804.9995,2126.7698,1849.9998,209677,0,29.1666,47.6650,97.5894,0.1067
178,500,500,4730.0166,2123.0845,1850.0164,209307,0,29.1571,47.8576,97.4193,0.1070
179,500,500,4889.9995,2117.7598,1819.9998,208776,0,29.2138,48.1135,97.5520,0.1067
180,500,500,4709.9995,2131.3599,1857.4998,210136,0,29.2183,48.0867,97.7898,0.1066
181,500,500,4814.9995,2127.2197,1829.9998,209722,0,29.1855,48.0542,97.8639,0.1066
182,500,500,4984.9995,2134.9897,1842.4998,210499,0,29.1933,47.8990,97.4276,0.1064
183,500,500,4784.9995,2119.6296,1854.9998,208963,0,29.1757,47.8658,97.1755,0.1064
184,500,500,4699.9995,2123.1997,1844.9998,209320,0,29.2292,48.0057,97.3253,0.1065
185,500,500,4544.9995,2124.5798,1834.9998,209458,0,29.2147,48.3598,97.2238,0.1065
186,500,500,5044.9995,2124.4397,1822.4998,209444,0,29.2223,48.3167,97.6587,0.1063
187,500,500,4989.9995,2124.6897,1819.9998,209469,0,29.2258,48.4747,97.6756,0.1064
188,500,500,5099.9995,2127.0598,1864.9998,209706,0,29.2576,48.5894,97.7450,0.1062
189,500,500,4754.9995,2134.8298,1842.4998,210483,0,29.2759,48.8183,97.3436,0.1059
190,500,500,4649.9995,2137.7498,1847.4998,210775,0,29.2874,48.9736,97.1780,0.1061
191,500,500,4604.9995,2139.9397,1849.9998,210994,0,29.2633,49.2014,97.2229,0.1062
192,500,500,4659.9995,2122.9397,1842.4998,209294,0,29.2884,48.6783,96.9445,0.1062
193,500,500,4619.9995,2131.8796,1844.9998,210188,0,29.2954,48.4846,96.8664,0.1060
194,500,500,4934.9995,2123.0698,1849.9998,209307,0,29.2824,48.6382,96.8975,0.1062
195,500,500,4979.9995,2137.4697,1844.9998,210747,0,29.2698,49.0154,96.6167,0.1060
196,500,500,4784.9995,2122.1497,1844.9998,209215,0,29.2291,49.4332,96.5589,0.1061
197,500,500,4759.9995,2132.2698,1829.9998,210227,0,29.2763,49.8859,96.5329,0.1061
198,500,500,4789.9995,2129.2297,1844.9998,209923,0,29.3284,49.7171,96.6603,0.1059
199,500,500,4599.9995,2132.9998,1849.9998,210300,0,29.3185,49.7735,96.5849,0.1057
200,500,500,4699.9995,2127.9197,1842.4998,209792,0,29.3119,49.8815,96.3414,0.1056
